transactionID	items
43	{beef,whole milk,curd,yogurt,hard cheese,domestic eggs,rolls/buns,white bread,oil,misc. beverages,cling film/bags,house keeping products}
44	{sausage,rolls/buns,soda}
45	{citrus fruit,other vegetables,UHT-milk,rolls/buns}
46	{frozen dessert,brandy}
47	{sausage,white bread}
48	{salty snack}
49	{other vegetables,yogurt,brown bread,instant coffee}
50	{ham,beef,tropical fruit,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,soft cheese,frozen potato products,rolls/buns,soda,long life bakery product,chocolate}
51	{curd,yogurt,oil,bottled water,bottled beer,male cosmetics}
52	{canned beer}
53	{sausage,citrus fruit,other vegetables,whole milk,whipped/sour cream,sliced cheese,cream cheese ,domestic eggs,rolls/buns,pastry,sugar,baking powder}
54	{frozen fish}
55	{coffee}
56	{curd,rolls/buns}
57	{other vegetables,yogurt,whipped/sour cream,white bread}
58	{meat,root vegetables,other vegetables,dessert,yogurt,whipped/sour cream,rolls/buns,potato products,soda,misc. beverages,napkins,photo/film}
59	{bottled water,waffles,chocolate}
60	{grapes}
61	{sausage,tropical fruit,semi-finished bread,soda,salty snack,shopping bags}
62	{sausage,yogurt,cream}
63	{chicken,fruit/vegetable juice,long life bakery product}
64	{sausage,beef,citrus fruit,yogurt,brown bread,margarine,soda,long life bakery product,hygiene articles,napkins,pot plants}
65	{sausage,pip fruit,onions,spices,cat food,bottled beer,newspapers}
66	{pork,other vegetables,whipped/sour cream}
67	{tropical fruit,butter,brown bread}
68	{other vegetables,packaged fruit/vegetables,frozen dessert,rolls/buns,soda}
69	{other vegetables,rolls/buns,canned fish}
70	{other vegetables,white bread}
71	{pork,packaged fruit/vegetables,ice cream,oil,detergent}
72	{whole milk,bottled water}
73	{beef}
74	{other vegetables,bottled beer,red/blush wine,prosecco,specialty chocolate}
75	{beef,root vegetables,other vegetables,rolls/buns,sugar}
76	{coffee,napkins}
77	{beef,other vegetables,canned fish}
78	{chicken,sugar,photo/film}
79	{whole milk,sugar,bottled water,bottled beer}
80	{frankfurter,pork,herbs,other vegetables,butter,rolls/buns}
81	{frankfurter,rolls/buns,brown bread,shopping bags}
82	{grapes,pastry,salty snack,light bulbs,shopping bags}
83	{citrus fruit,tropical fruit,whole milk,butter milk,beverages,soda,shopping bags}
84	{whole milk,sliced cheese,margarine,cat food,detergent,dishes,shopping bags}
85	{spread cheese,pastry}
86	{brown bread}
87	{whole milk,dessert}
88	{bottled beer}
89	{sausage,waffles}
90	{whole milk,rolls/buns,flour,vinegar,shopping bags}
91	{rolls/buns,soda}
92	{ice cream,salty snack,waffles}
93	{frankfurter,meat,butter milk,tidbits,domestic eggs,brown bread,sugar,pickled vegetables}
94	{pip fruit}
95	{rolls/buns,brown bread}
96	{frankfurter,sausage,turkey,tropical fruit,root vegetables,white bread,canned vegetables,soda}
97	{pip fruit,soda,chewing gum}
98	{pork,tropical fruit,grapes,hard cheese,soda,napkins,shopping bags}
99	{root vegetables,whole milk,beverages,salt}
100	{whole milk,butter milk,cream cheese ,fruit/vegetable juice}
101	{sausage,meat,pork,citrus fruit,curd,UHT-milk,brown bread,sugar,soda,fruit/vegetable juice,cookware,house keeping products}
102	{frozen vegetables}
103	{yogurt,rolls/buns}
104	{whole milk,semi-finished bread}
105	{frankfurter,berries,whole milk,rice,coffee,cling film/bags}
106	{pork,berries,root vegetables,other vegetables,pastry,specialty bar}
107	{other vegetables,whipped/sour cream}
108	{chicken,whole milk,frozen vegetables,brown bread,sugar,dog food}
109	{root vegetables,onions,yogurt,whipped/sour cream,UHT-milk,salt,coffee,bottled water,bottled beer}
110	{finished products,bottled water,specialty bar,newspapers}
111	{canned beer}
112	{turkey,other vegetables,whipped/sour cream,canned vegetables,instant coffee,bottled water,red/blush wine}
113	{citrus fruit,yogurt,fruit/vegetable juice,napkins}
114	{butter,yogurt,dog food}
115	{other vegetables,rolls/buns,soda}
116	{beverages}
117	{hamburger meat,citrus fruit,tropical fruit,other vegetables,whipped/sour cream,beverages,white bread,hygiene articles,napkins}
118	{popcorn,specialty bar,candy}
119	{root vegetables,onions,whole milk,curd,yogurt,whipped/sour cream,soft cheese,cream cheese ,curd cheese,frozen fish,rolls/buns,waffles}
120	{tropical fruit,rolls/buns}
121	{pork,beverages,white bread}
122	{dessert,yogurt,UHT-milk,cream cheese ,frozen vegetables,rolls/buns,bottled water,napkins}
123	{candy}
124	{sausage,other vegetables,dessert}
125	{ham,tropical fruit,cream cheese ,processed cheese,white bread,candy}
126	{tropical fruit,whole milk,yogurt,beverages,brown bread,newspapers}
127	{frankfurter,sausage,ham,tropical fruit,rolls/buns,pastry,chocolate,napkins}
128	{hamburger meat,frozen vegetables}
129	{instant coffee}
130	{yogurt,coffee}
131	{ham,citrus fruit,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,brown bread}
132	{hamburger meat,rice,soups,sauces}
133	{citrus fruit,whole milk,butter milk,yogurt,baking powder}
134	{salty snack}
135	{rolls/buns,coffee}
136	{pork,dessert,soda,shopping bags}
137	{sausage,meat,pip fruit,other vegetables,salty snack,napkins}
138	{whole milk,processed cheese,pastry,soda}
139	{frankfurter,citrus fruit,tropical fruit,rolls/buns}
140	{bottled water,cake bar}
141	{canned beer}
142	{pip fruit,whole milk}
143	{meat,other vegetables,whole milk,beverages,rolls/buns,margarine,chocolate,napkins,newspapers}
144	{citrus fruit,tropical fruit,berries,yogurt,cream cheese ,brown bread,meat spreads}
145	{frankfurter,citrus fruit,rolls/buns,soda}
146	{sausage,tropical fruit,yogurt,frozen meals,ice cream,brown bread}
147	{curd,specialty chocolate}
148	{frankfurter,hamburger meat,whole milk,coffee,bottled water,bottled beer,waffles,chocolate}
149	{grapes,root vegetables,frozen vegetables,domestic eggs,white wine}
150	{frozen dessert,pastry,semi-finished bread,vinegar,coffee}
151	{other vegetables,brown bread,spices,white wine}
152	{citrus fruit,yogurt,UHT-milk,domestic eggs,rolls/buns}
153	{pork,onions,other vegetables,butter,dessert,beverages,UHT-milk,specialty cheese,frozen vegetables,rolls/buns,coffee,shopping bags}
154	{frankfurter,other vegetables,whole milk,yogurt,condensed milk,cream cheese ,rolls/buns,pastry}
155	{butter milk,yogurt}
156	{ice cream,long life bakery product}
157	{tropical fruit,whole milk,yogurt,whipped/sour cream,rolls/buns,cocoa drinks,bottled water,bottled beer,specialty chocolate}
158	{butter,UHT-milk,frozen vegetables,ketchup,bottled water,soda,bottled beer}
159	{citrus fruit,onions,soups}
160	{root vegetables,whole milk,butter,domestic eggs,flour,oil,sugar,baking powder,white wine,specialty chocolate,shopping bags}
161	{other vegetables,whole milk,rice,fruit/vegetable juice}
162	{beef,herbs,whole milk}
163	{bottled beer}
164	{dessert,frozen meals,soda,seasonal products}
165	{pork,pip fruit,other vegetables,butter milk,white bread,pastry,soda,fruit/vegetable juice}
166	{hamburger meat,whipped/sour cream,cream cheese ,rolls/buns,pasta,canned fish,popcorn}
167	{onions,cat food,pet care,popcorn,dental care}
168	{root vegetables,other vegetables,dessert,whipped/sour cream,domestic eggs,pastry,chocolate,softener}
169	{whole milk}
170	{tropical fruit,berries,onions,butter,yogurt,coffee,soda,fruit/vegetable juice,specialty bar}
171	{citrus fruit,whole milk,snack products}
172	{brown bread}
173	{pork,root vegetables,onions,other vegetables,whole milk,napkins,shopping bags}
174	{ham,domestic eggs,pastry,long life bakery product,waffles,specialty chocolate,dishes,shopping bags}
175	{onions,whipped/sour cream,newspapers}
176	{pip fruit,beverages,frozen vegetables,frozen meals,bottled water,soda,salty snack}
177	{whole milk,domestic eggs,newspapers}
178	{ham,rolls/buns}
179	{brown bread,chocolate}
180	{bottled beer,shopping bags}
181	{ice cream,soda,misc. beverages,liquor (appetizer)}
182	{sausage,root vegetables,rolls/buns,soda}
183	{pork,beef,other vegetables,hard cheese,cream cheese ,rolls/buns,brown bread,napkins}
184	{canned beer}
185	{onions,yogurt,frozen vegetables}
186	{hamburger meat}
187	{pasta,soda,snack products,cake bar}
188	{frankfurter,rolls/buns,napkins}
189	{frankfurter,hamburger meat,pip fruit,other vegetables,butter milk,yogurt,sliced cheese,coffee,specialty bar}
190	{other vegetables,whole milk,butter milk,yogurt,whipped/sour cream,domestic eggs,pastry,popcorn}
191	{sausage,whole milk,rolls/buns}
192	{bottled water}
193	{butter,ice cream,margarine,soda}
194	{beef}
195	{shopping bags}
196	{oil,hygiene articles}
197	{chicken,beef,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,domestic eggs,pastry,canned vegetables,pickled vegetables,coffee,soda,canned beer,cookware}
198	{UHT-milk}
199	{ham,tropical fruit,specialty cheese,long life bakery product,hygiene articles,newspapers}
200	{sausage,berries,curd,yogurt,whipped/sour cream,cream cheese ,frozen vegetables,tea,fruit/vegetable juice,napkins,shopping bags}
201	{bottled beer,shopping bags}
202	{canned beer}
203	{onions}
204	{coffee,instant coffee}
205	{frankfurter,butter,brown bread}
206	{pip fruit}
207	{chicken,hamburger meat,root vegetables,onions,other vegetables,whole milk,butter,curd,butter milk,frozen vegetables,domestic eggs,oil,canned vegetables,popcorn}
208	{bottled beer}
209	{other vegetables}
210	{whole milk,beverages,frozen meals,frozen dessert}
211	{other vegetables,whole milk,rolls/buns,long life bakery product,flower (seeds)}
212	{beverages,domestic eggs,misc. beverages}
213	{liver loaf,beef,onions,specialty chocolate,napkins,shopping bags}
214	{bottled water,newspapers}
215	{sausage,chicken,pip fruit,spread cheese,rolls/buns,sugar}
216	{beef,yogurt,margarine}
217	{beverages}
218	{other vegetables,curd,whipped/sour cream,UHT-milk,sugar,bottled beer,napkins}
219	{root vegetables,other vegetables,whole milk}
220	{frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder}
221	{beef,citrus fruit,pip fruit}
222	{whole milk,cake bar,newspapers}
223	{frankfurter,yogurt,UHT-milk,pastry,potato products,vinegar,artif. sweetener,cat food,coffee,bottled water}
224	{sausage,pip fruit,curd,soda,canned beer,cake bar,shopping bags}
225	{sausage,brown bread,meat spreads,canned fish}
226	{dessert,white bread,margarine,sugar,chocolate}
227	{citrus fruit,pip fruit,whole milk,bottled water}
228	{artif. sweetener}
229	{sausage,ham,other vegetables,beverages,mayonnaise,rolls/buns,soda,bottled beer,chocolate,chocolate marshmallow,candy}
230	{frankfurter,meat,citrus fruit,pip fruit,brown bread,pickled vegetables,coffee,specialty chocolate,newspapers}
231	{pork,root vegetables,other vegetables,mayonnaise,domestic eggs,rolls/buns,mustard,fruit/vegetable juice,chewing gum,dishes}
232	{canned beer}
233	{sausage,yogurt,pastry,cat food}
234	{canned vegetables,newspapers}
235	{hamburger meat}
236	{UHT-milk,artif. sweetener,bottled water}
237	{rolls/buns,pastry,sugar}
238	{other vegetables,newspapers}
239	{tidbits,rolls/buns,coffee,salty snack}
240	{tropical fruit,whole milk,long life bakery product,chocolate}
241	{ham,tropical fruit,pip fruit,root vegetables,domestic eggs,napkins,newspapers}
242	{frankfurter,nuts/prunes,frozen meals,rolls/buns,chocolate}
243	{fruit/vegetable juice}
244	{sausage,ham,tropical fruit,whole milk,butter,processed cheese,rolls/buns,potato products,rice,margarine,cereals,cat food,fruit/vegetable juice,bottled beer,chocolate,napkins}
245	{grapes}
246	{sausage,whole milk,whipped/sour cream,pasta,pet care,fruit/vegetable juice}
247	{domestic eggs}
248	{other vegetables,whole milk,brown bread,napkins}
249	{bottled water}
250	{whipped/sour cream,pastry,canned fish,soda,waffles,dish cleaner,napkins}
251	{pastry,canned beer,male cosmetics,newspapers}
252	{yogurt,rolls/buns,dog food,bottled water,canned beer,shopping bags}
253	{soda}
254	{sugar,waffles,cleaner,kitchen towels,shopping bags}
255	{pasta,sauces,cake bar,chocolate marshmallow,napkins}
256	{frozen meals}
257	{coffee,long life bakery product}
258	{other vegetables,butter milk,UHT-milk,sliced cheese,cream cheese ,processed cheese,specialty cheese,canned vegetables}
259	{specialty bar}
260	{bottled beer,seasonal products}
261	{whole milk,pastry,oil,popcorn,snack products,detergent,shopping bags}
262	{sparkling wine}
263	{salty snack}
264	{other vegetables,whole milk,margarine,jam,salty snack,shopping bags}
265	{whole milk,yogurt,rolls/buns,waffles,specialty bar}
266	{sausage,other vegetables,rolls/buns,canned vegetables,coffee,soda,dish cleaner}
267	{tropical fruit,other vegetables,whole milk,mustard,bottled water}
268	{pip fruit,whole milk,newspapers}
269	{tropical fruit,pip fruit,whole milk,pastry}
270	{frankfurter,ham,tropical fruit,pip fruit,grapes,other vegetables,whole milk,yogurt,sliced cheese,frozen meals,frozen fish,brown bread}
271	{other vegetables,cream cheese ,frozen fruits,frozen fish,domestic eggs,rolls/buns,margarine,cereals,pickled vegetables,canned fish,dog food,salty snack,specialty chocolate,dental care,kitchen towels,shopping bags}
272	{citrus fruit,other vegetables,whole milk,soda}
273	{turkey,whole milk,liquor (appetizer),shopping bags}
274	{sausage,other vegetables,sliced cheese,rolls/buns,coffee,soda,shopping bags}
275	{whole milk}
276	{coffee}
277	{sugar}
278	{turkey,tropical fruit,root vegetables,other vegetables,butter,whipped/sour cream,hard cheese,ketchup,fruit/vegetable juice,candy,napkins}
279	{newspapers}
280	{other vegetables,rolls/buns}
281	{pork,beef,citrus fruit,pip fruit,root vegetables,onions,other vegetables,whole milk,butter,ice cream,bottled water,waffles,newspapers,shopping bags}
282	{frankfurter,pork,tropical fruit,pip fruit,other vegetables,whole milk,dessert,whipped/sour cream,cream cheese ,frozen meals,cat food,salty snack,cake bar,chewing gum,specialty bar,seasonal products}
283	{frankfurter,turkey,root vegetables,other vegetables,yogurt,rolls/buns,pastry,ready soups}
284	{dessert,spread cheese,pastry,soda,seasonal products}
285	{sausage,other vegetables,whole milk,sliced cheese,white bread,baking powder,pickled vegetables,rum}
286	{chicken,citrus fruit,root vegetables,butter,domestic eggs,brown bread,margarine,sweet spreads,dental care,shopping bags}
287	{citrus fruit,white bread,liquor,specialty bar,shopping bags}
288	{pork,whole milk,margarine}
289	{specialty chocolate,light bulbs}
290	{soda}
291	{yogurt,margarine,sugar,bottled water,bottled beer,red/blush wine,long life bakery product}
292	{sausage,rolls/buns}
293	{curd cheese,rolls/buns}
294	{grapes,whole milk,ice cream,bottled water,chocolate}
295	{frankfurter,tropical fruit}
296	{hamburger meat,other vegetables,whipped/sour cream,pastry,napkins}
297	{whole milk,pickled vegetables,bottled water,bottled beer,chocolate}
298	{sausage,yogurt,white wine}
299	{beef,tropical fruit,root vegetables,whole milk,rolls/buns,bottled water,salty snack}
300	{tropical fruit,root vegetables,domestic eggs}
301	{bottled water,soda}
302	{whipped/sour cream,domestic eggs,candles}
303	{canned beer}
304	{beef}
305	{frankfurter,hamburger meat,berries,onions,other vegetables,whole milk,curd,dessert,rolls/buns,cake bar,newspapers}
306	{nuts/prunes,whole milk,semi-finished bread,jam,soda,pot plants,shopping bags}
307	{waffles}
308	{canned beer}
309	{pork,yogurt}
310	{whole milk,white bread}
311	{pip fruit,chocolate marshmallow}
312	{canned beer,specialty bar}
313	{citrus fruit,semi-finished bread}
314	{ham,whole milk,white bread,margarine,hair spray}
315	{waffles,newspapers}
316	{hamburger meat,root vegetables,other vegetables,rolls/buns,roll products ,pet care,newspapers}
317	{frozen vegetables,frozen dessert,semi-finished bread,margarine,long life bakery product,candy,detergent}
318	{whole milk,butter,soda,chocolate}
319	{canned beer}
320	{other vegetables,soda}
321	{ice cream,canned beer}
322	{citrus fruit,other vegetables,whole milk,domestic eggs,soda}
323	{berries,whole milk,flour,sugar,soda}
324	{root vegetables,whole milk,butter,yogurt,cream cheese ,frozen fish,shopping bags}
325	{chocolate,candy}
326	{canned beer}
327	{sausage,hamburger meat,margarine}
328	{other vegetables,whole milk,condensed milk,white bread,sugar,coffee,soda,fruit/vegetable juice,bottled beer,shopping bags}
329	{liver loaf,whole milk,curd,frozen meals}
330	{sausage,onions,yogurt,detergent}
331	{tropical fruit,root vegetables,other vegetables,whole milk,yogurt,rice,oil,bathroom cleaner}
332	{tropical fruit,other vegetables,whole milk,curd,frozen fish,domestic eggs,baking powder,cling film/bags}
333	{rolls/buns,pastry,soda}
334	{rolls/buns,bottled water}
335	{yogurt,liquor (appetizer),nut snack,long life bakery product,hygiene articles,shopping bags}
336	{sausage,tropical fruit,butter,frozen meals,pasta,fruit/vegetable juice}
337	{citrus fruit,tropical fruit,other vegetables,whole milk,butter,whipped/sour cream,domestic eggs,sugar,salty snack,long life bakery product,napkins,shopping bags}
338	{beef,other vegetables,waffles,pot plants}
339	{pip fruit,other vegetables,whole milk,butter,whipped/sour cream,sliced cheese,pastry,hygiene articles,napkins}
340	{pork,root vegetables,onions,other vegetables,margarine,sugar,spices}
341	{berries}
342	{canned beer}
343	{hamburger meat,root vegetables,whole milk,whipped/sour cream,flour,chocolate marshmallow,newspapers}
344	{chicken,hamburger meat,onions,frozen meals,domestic eggs,vinegar,Instant food products,baking powder,pudding powder,bottled water,skin care,hygiene articles,house keeping products}
345	{oil,pickled vegetables,hygiene articles}
346	{rolls/buns,brown bread}
347	{pip fruit,chewing gum}
348	{margarine,fruit/vegetable juice}
349	{sausage,whole milk,dessert,spices,bottled beer}
350	{whole milk,yogurt,brown bread,chocolate,newspapers}
351	{butter milk,coffee}
352	{sausage,pip fruit,hard cheese,rolls/buns,soda}
353	{brandy}
354	{whole milk,specialty fat,soda}
355	{bottled beer}
356	{other vegetables,cream cheese ,white bread,jam,coffee,bottled water,soda,fruit/vegetable juice,canned beer,red/blush wine,cling film/bags}
357	{root vegetables,onions,whipped/sour cream,UHT-milk,frozen dessert,margarine,syrup}
358	{packaged fruit/vegetables}
359	{bottled beer}
360	{soda,bottled beer,liquor,red/blush wine}
361	{butter,pastry,long life bakery product,shopping bags}
362	{chicken,beef,packaged fruit/vegetables,dessert,whipped/sour cream,soft cheese,frozen meals,rolls/buns,white bread,pasta,shopping bags}
363	{sausage,butter milk,rolls/buns}
364	{bottled water,liquor (appetizer),specialty bar}
365	{sausage,beverages,brown bread,pastry}
366	{chicken,citrus fruit,onions,other vegetables,yogurt,pet care,pot plants}
367	{root vegetables,whole milk,flour,sugar,soda,misc. beverages}
368	{other vegetables}
369	{sausage,meat,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,bottled beer,newspapers}
370	{frozen fish,bottled beer}
371	{specialty chocolate}
372	{whole milk,yogurt,pastry,waffles}
373	{citrus fruit,whole milk,butter,pastry,semi-finished bread,coffee,candy,newspapers,shopping bags}
374	{tropical fruit,yogurt,UHT-milk,cream cheese ,processed cheese,rolls/buns,pastry,margarine,waffles,hygiene articles}
375	{soda,specialty bar}
376	{curd,yogurt,waffles}
377	{bottled beer}
378	{soda,canned beer}
379	{sausage,yogurt}
380	{whole milk,yogurt}
381	{domestic eggs}
382	{frankfurter,sausage,tropical fruit,root vegetables,whole milk,sliced cheese,frozen vegetables,mustard,pickled vegetables,salty snack}
383	{chicken,root vegetables,other vegetables,curd,yogurt,beverages,margarine,candles,flower (seeds)}
384	{bottled water,soda,fruit/vegetable juice,bottled beer,napkins}
385	{pastry,soda,specialty bar}
386	{butter milk,specialty chocolate}
387	{meat,turkey,citrus fruit,tropical fruit,herbs,other vegetables,frozen meals,shopping bags}
388	{whole milk,whipped/sour cream,rolls/buns,pickled vegetables,bottled water,long life bakery product}
389	{citrus fruit,butter milk,sliced cheese,bottled water,cleaner}
390	{other vegetables,whipped/sour cream,condensed milk,salt}
391	{berries,yogurt,domestic eggs,rolls/buns}
392	{citrus fruit,berries,curd,yogurt,soda}
393	{hamburger meat,soft cheese,white bread,pastry}
394	{whole milk}
395	{salty snack,female sanitary products}
396	{bottled water,bottled beer,specialty bar}
397	{oil}
398	{pork,beef,soda,canned beer}
399	{processed cheese,soda}
400	{tropical fruit,root vegetables,frozen vegetables,ice cream,bottled water,cling film/bags}
401	{cream cheese ,bottled water,canned beer}
402	{pip fruit,other vegetables,whipped/sour cream,oil}
403	{coffee}
404	{root vegetables}
405	{oil,bottled beer}
406	{hamburger meat,grapes,whole milk,rice,sugar,bottled water}
407	{beef,citrus fruit,domestic eggs,salty snack,long life bakery product,napkins}
408	{chicken,citrus fruit,yogurt,UHT-milk,soft cheese,rolls/buns,margarine,mustard,coffee,kitchen towels,candles}
409	{frankfurter,soda}
410	{whole milk,cake bar}
411	{other vegetables,dessert,sugar}
412	{meat,other vegetables}
413	{pork,other vegetables,whole milk,butter,whipped/sour cream,hard cheese,cat food,pet care,coffee,liquor,napkins,dishes,kitchen towels}
414	{chicken,citrus fruit,other vegetables}
415	{tropical fruit,pip fruit,whole milk,cream cheese ,frozen vegetables,ice cream,bottled water,shopping bags}
416	{pork,pip fruit,whole milk,butter milk}
417	{newspapers}
418	{frankfurter,other vegetables,whipped/sour cream,specialty cheese,domestic eggs,rolls/buns,hygiene articles,napkins}
419	{beef,pot plants}
420	{ham,beef,tropical fruit,cat food}
421	{grapes,rolls/buns,long life bakery product,candy}
422	{canned beer}
423	{yogurt}
424	{citrus fruit,other vegetables,beverages,snack products}
425	{dessert,oil,cat food,soda}
426	{curd,frozen meals,pastry,long life bakery product,waffles,napkins}
427	{butter milk,frozen dessert,soda,shopping bags}
428	{pork,herbs,other vegetables,whole milk,curd cheese,fruit/vegetable juice}
429	{meat,chicken,root vegetables,other vegetables,whole milk,yogurt,sliced cheese,cream cheese ,roll products ,oil,margarine,artif. sweetener,detergent,shopping bags}
430	{sausage,other vegetables,whipped/sour cream,ice cream,domestic eggs,rolls/buns,coffee,bottled water,newspapers}
431	{sausage,other vegetables,spread cheese,rolls/buns,soda,salty snack,long life bakery product}
432	{citrus fruit,other vegetables,UHT-milk,rolls/buns,flour}
433	{sausage,beef,hamburger meat,pip fruit,root vegetables,herbs,other vegetables,yogurt,mayonnaise,rolls/buns,dishes}
434	{citrus fruit,dessert,photo/film}
435	{other vegetables,yogurt,whipped/sour cream,soda,bottled beer,salty snack}
436	{other vegetables,whole milk,mayonnaise,frozen potato products,pastry,margarine,baking powder}
437	{rolls/buns,margarine,tea,bottled beer}
438	{grapes,other vegetables,zwieback,Instant food products,dishes}
439	{pork,other vegetables,whole milk,frozen potato products,flour,oil}
440	{light bulbs}
441	{whole milk,whipped/sour cream,baking powder}
442	{rolls/buns,brown bread}
443	{pork,packaged fruit/vegetables,whole milk,white bread,liquor,chocolate marshmallow}
444	{cat food,newspapers,shopping bags}
445	{bottled beer}
446	{hamburger meat,whole milk,coffee}
447	{pork,berries,whole milk,butter,yogurt,whipped/sour cream,hard cheese}
448	{pork,root vegetables,pastry,bottled beer}
449	{liver loaf,rolls/buns}
450	{other vegetables,brown bread}
451	{whole milk,dessert,pastry,Instant food products,canned fish,soda,bottled beer,red/blush wine,napkins,candles}
452	{misc. beverages,chocolate,shopping bags}
453	{chicken,root vegetables,herbs,other vegetables,canned beer,liquor (appetizer),shopping bags}
454	{yogurt,pastry}
455	{UHT-milk,bottled water,fruit/vegetable juice,canned beer}
456	{sausage,meat,chicken,hamburger meat,tropical fruit,herbs,other vegetables,ice cream,white bread,soda,specialty chocolate,dish cleaner,abrasive cleaner}
457	{shopping bags}
458	{citrus fruit,tropical fruit}
459	{hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care}
460	{other vegetables,UHT-milk,rolls/buns,pastry,bottled water,soda}
461	{pip fruit,soda}
462	{citrus fruit,tropical fruit,pip fruit,grapes,onions,other vegetables,sliced cheese,cream cheese ,mayonnaise,ice cream,frozen dessert,margarine,mustard,soups,pickled vegetables,coffee,long life bakery product,chocolate,seasonal products,female sanitary products,hygiene articles,cling film/bags}
463	{canned beer}
464	{pastry}
465	{root vegetables,herbs,whole milk,curd,frozen vegetables,frozen dessert,sweet spreads,fruit/vegetable juice}
466	{whipped/sour cream,newspapers}
467	{canned beer}
468	{beverages,soda}
469	{onions,other vegetables,whole milk,yogurt,roll products ,semi-finished bread}
470	{beef,cat food,newspapers}
471	{onions,herbs,bottled beer}
472	{fruit/vegetable juice,chewing gum}
473	{waffles}
474	{sausage,citrus fruit,tropical fruit,pip fruit,yogurt,pastry,bottled water,long life bakery product}
475	{sausage,ham,root vegetables,other vegetables,soft cheese,sliced cheese,mustard,specialty vegetables,bottled beer,rum,long life bakery product}
476	{napkins}
477	{meat,root vegetables,other vegetables,whipped/sour cream,frozen meals,ice cream}
478	{citrus fruit,root vegetables,domestic eggs,margarine,dishes}
479	{beef,tropical fruit,root vegetables,other vegetables,curd,rolls/buns,tea,bottled water,hygiene articles,flower (seeds)}
480	{waffles}
481	{misc. beverages,salty snack}
482	{canned beer}
483	{pork,bottled water,rum,white wine,flower (seeds)}
484	{citrus fruit,whole milk,domestic eggs,pastry,salt,oil,sugar,cocoa drinks}
485	{abrasive cleaner,napkins}
486	{soda}
487	{canned beer}
488	{beef,citrus fruit,grapes,berries,butter milk,yogurt,sliced cheese,rolls/buns}
489	{whole milk,shopping bags}
490	{pip fruit,onions,whole milk,yogurt,frozen vegetables,frozen fish,rolls/buns,semi-finished bread,margarine,bottled beer}
491	{frankfurter,yogurt,beverages,brown bread,specialty chocolate,candy}
492	{canned beer}
493	{whole milk}
494	{sausage,domestic eggs}
495	{whole milk,beverages,brown bread,pastry,specialty chocolate}
496	{pip fruit}
497	{cream cheese ,processed cheese,specialty bar}
498	{sausage,rolls/buns,male cosmetics}
499	{hamburger meat,other vegetables,sauces,soda,salty snack,newspapers}
500	{whole milk,yogurt,spread cheese,bottled water,soda}
501	{waffles}
502	{pip fruit,UHT-milk,white bread,brown bread,margarine,softener,napkins}
